Optimization algorithm: adam
eopch=0
total_batch=1082
step=1 ,loss=5.40063, auc=0.50000
step=2 ,loss=6.22345, auc=0.50000
step=3 ,loss=6.11960, auc=0.50000
step=4 ,loss=6.24793, auc=0.50000
step=5 ,loss=5.84925, auc=0.50000
step=6 ,loss=5.56358, auc=0.50185
step=7 ,loss=5.79817, auc=0.50157
step=8 ,loss=5.43087, auc=0.49023
step=9 ,loss=4.67488, auc=0.47778
step=10 ,loss=5.22583, auc=0.48744
step=11 ,loss=4.67900, auc=0.49817
step=12 ,loss=4.80459, auc=0.51511
step=13 ,loss=4.55441, auc=0.53959
step=14 ,loss=4.22100, auc=0.55456
step=15 ,loss=4.07510, auc=0.55461
step=16 ,loss=3.53340, auc=0.53903
step=17 ,loss=3.17632, auc=0.52572
step=18 ,loss=3.04391, auc=0.55084
step=19 ,loss=2.45504, auc=0.53585
step=20 ,loss=2.17629, auc=0.51117
step=21 ,loss=1.76461, auc=0.50859
step=22 ,loss=1.40891, auc=0.51197
step=23 ,loss=1.16271, auc=0.53305
step=24 ,loss=0.98175, auc=0.54098
step=25 ,loss=0.74378, auc=0.53080
step=26 ,loss=0.48429, auc=0.53231
step=27 ,loss=0.50962, auc=0.51373
step=28 ,loss=0.23165, auc=0.52270
step=29 ,loss=0.29715, auc=0.52982
step=30 ,loss=0.55881, auc=0.52238
step=31 ,loss=0.74328, auc=0.50365
step=32 ,loss=0.10369, auc=0.51847
step=33 ,loss=0.26398, auc=0.52497
step=34 ,loss=0.38757, auc=0.52689
step=35 ,loss=0.13239, auc=0.53731
step=36 ,loss=0.46530, auc=0.53723
step=37 ,loss=0.53989, auc=0.53489
step=38 ,loss=0.39129, auc=0.53545
step=39 ,loss=0.50798, auc=0.53260
step=40 ,loss=0.40901, auc=0.53313
step=41 ,loss=0.42617, auc=0.53347
step=42 ,loss=0.43228, auc=0.53397
step=43 ,loss=0.57974, auc=0.53058
step=44 ,loss=0.41672, auc=0.53052
step=45 ,loss=0.57964, auc=0.52825
step=46 ,loss=1.10491, auc=0.51577
step=47 ,loss=0.42280, auc=0.51510
step=48 ,loss=0.45127, auc=0.51487
step=49 ,loss=0.25245, auc=0.51736
step=50 ,loss=0.60376, auc=0.51666
step=51 ,loss=0.72431, auc=0.51319
step=52 ,loss=0.52985, auc=0.51198
step=53 ,loss=0.45356, auc=0.51171
step=54 ,loss=0.58310, auc=0.50826
step=55 ,loss=0.45421, auc=0.50651
step=56 ,loss=0.18668, auc=0.50835
step=57 ,loss=0.42013, auc=0.50773
step=58 ,loss=0.58551, auc=0.50686
step=59 ,loss=0.25158, auc=0.50730
step=60 ,loss=0.55328, auc=0.50488
step=61 ,loss=0.17204, auc=0.50649
